2025-10-31 16:36:52 | INFO | Starting scheduled Instagram brand post...
2025-10-31 16:36:52 | ERROR | Error fetching brands: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/brands (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103e41df0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-31 16:36:52 | ERROR | No brands found
2025-10-31 16:36:52 | ERROR | ❌ Scheduled Instagram post failed
2025-11-01 00:00:58 | INFO | 🔄 Daily Instagram post count reset
2025-11-01 00:00:58 | INFO | Starting scheduled Instagram brand post...
2025-11-01 00:00:58 | ERROR | Error fetching brands: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/brands (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x105004790>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-11-01 00:00:58 | ERROR | No brands found
2025-11-01 00:00:58 | ERROR | ❌ Scheduled Instagram post failed
2025-11-01 08:03:38 | INFO | Starting scheduled Instagram brand post...
2025-11-01 08:03:38 | ERROR | Error fetching brands: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/brands (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103f69760>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-11-01 08:03:38 | ERROR | No brands found
2025-11-01 08:03:38 | ERROR | ❌ Scheduled Instagram post failed
