2025-11-07 16:00:20 | INFO | Starting scheduled Instagram brand post...
2025-11-07 16:00:20 | ERROR | Error fetching brands: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/brands (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103f64730>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-11-07 16:00:20 | ERROR | No brands found
2025-11-07 16:00:20 | ERROR | ❌ Scheduled Instagram post failed
2025-11-08 00:20:05 | INFO | 🔄 Daily Instagram post count reset
2025-11-08 00:20:05 | INFO | Starting scheduled Instagram brand post...
2025-11-08 00:20:05 | ERROR | Error fetching brands: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/brands (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103e245b0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-11-08 00:20:05 | ERROR | No brands found
2025-11-08 00:20:05 | ERROR | ❌ Scheduled Instagram post failed
2025-11-08 08:30:22 | INFO | Starting scheduled Instagram brand post...
2025-11-08 08:30:22 | ERROR | Error fetching brands: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/brands (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103f69dc0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-11-08 08:30:22 | ERROR | No brands found
2025-11-08 08:30:22 | ERROR | ❌ Scheduled Instagram post failed
